2026-05-03 20:11:57,174 | DatasetGeneration | INFO | generate_dataset:519 | ============================================================
2026-05-03 20:11:57,174 | DatasetGeneration | INFO | generate_dataset:520 | DATASET GENERATION PIPELINE
2026-05-03 20:11:57,174 | DatasetGeneration | INFO | generate_dataset:521 | ============================================================
2026-05-03 20:11:57,220 | DatasetGeneration | INFO | generate_dataset:530 | Step 1: Creating benchmark program characteristics...
2026-05-03 20:11:57,221 | DatasetGeneration | INFO | generate_dataset:535 |   Created 40 benchmark programs (C: 30, C++: 5, Python: 5)
2026-05-03 20:11:57,222 | DatasetGeneration | INFO | generate_dataset:538 | Step 2: Extracting features (Autophase + CFG)...
2026-05-03 20:11:57,999 | DatasetGeneration | INFO | generate_dataset:541 |   Feature matrix shape: (40, 91)
2026-05-03 20:11:57,999 | DatasetGeneration | INFO | generate_dataset:544 | Step 3: Initializing pass manager...
2026-05-03 20:11:58,001 | DatasetGeneration | INFO | generate_dataset:550 | Step 4: Generating priority vectors...
2026-05-03 20:11:58,003 | DatasetGeneration | INFO | generate_dataset:558 | Step 5: Creating labeled dataset (features + priority → optimal class)...
2026-05-03 20:11:59,856 | DatasetGeneration | INFO | generate_dataset:585 |   Total samples: 600
2026-05-03 20:11:59,856 | DatasetGeneration | INFO | generate_dataset:586 |   Feature dimension: 95
2026-05-03 20:11:59,856 | DatasetGeneration | INFO | generate_dataset:587 |   Class distribution: [ 16 103  17  34  18 213   9  21 147  22]
2026-05-03 20:11:59,856 | DatasetGeneration | INFO | generate_dataset:590 | Step 6: Data augmentation...
2026-05-03 20:12:00,012 | DatasetGeneration | INFO | generate_dataset:613 |   After augmentation: 6600 samples
2026-05-03 20:12:00,012 | DatasetGeneration | INFO | generate_dataset:616 | Step 7: Train/val/test split...
2026-05-03 20:12:00,018 | DatasetGeneration | INFO | generate_dataset:633 |   Train: 4620, Val: 990, Test: 990
2026-05-03 20:12:00,030 | DatasetGeneration | INFO | generate_dataset:651 | ============================================================
2026-05-03 20:12:00,031 | DatasetGeneration | INFO | generate_dataset:652 | DATASET GENERATION COMPLETE
2026-05-03 20:12:00,031 | DatasetGeneration | INFO | generate_dataset:653 | Total: 6600 samples, 95 features, 10 classes
2026-05-03 20:12:00,031 | DatasetGeneration | INFO | generate_dataset:654 | ============================================================
