2026-03-07 13:47:28,793 | DatasetGeneration | INFO | generate_dataset:390 | ============================================================
2026-03-07 13:47:28,793 | DatasetGeneration | INFO | generate_dataset:391 | DATASET GENERATION PIPELINE
2026-03-07 13:47:28,793 | DatasetGeneration | INFO | generate_dataset:392 | ============================================================
2026-03-07 13:47:28,875 | DatasetGeneration | INFO | generate_dataset:401 | Step 1: Creating benchmark program characteristics...
2026-03-07 13:47:28,876 | DatasetGeneration | INFO | generate_dataset:403 |   Created 30 benchmark programs
2026-03-07 13:47:28,877 | DatasetGeneration | INFO | generate_dataset:406 | Step 2: Extracting features (Autophase + CFG)...
2026-03-07 13:47:29,031 | DatasetGeneration | INFO | generate_dataset:409 |   Feature matrix shape: (30, 66)
2026-03-07 13:47:29,032 | DatasetGeneration | INFO | generate_dataset:412 | Step 3: Initializing pass manager...
2026-03-07 13:47:29,043 | DatasetGeneration | INFO | generate_dataset:418 | Step 4: Generating priority vectors...
2026-03-07 13:47:29,046 | DatasetGeneration | INFO | generate_dataset:426 | Step 5: Creating labeled dataset (features + priority → optimal class)...
2026-03-07 13:47:31,585 | DatasetGeneration | INFO | generate_dataset:453 |   Total samples: 450
2026-03-07 13:47:31,585 | DatasetGeneration | INFO | generate_dataset:454 |   Feature dimension: 69
2026-03-07 13:47:31,586 | DatasetGeneration | INFO | generate_dataset:455 |   Class distribution: [ 16  54   0  45  16 169   0  41  74  35]
2026-03-07 13:47:31,586 | DatasetGeneration | INFO | generate_dataset:458 | Step 6: Data augmentation...
2026-03-07 13:47:31,639 | DatasetGeneration | INFO | generate_dataset:481 |   After augmentation: 1350 samples
2026-03-07 13:47:31,639 | DatasetGeneration | INFO | generate_dataset:484 | Step 7: Train/val/test split...
2026-03-07 13:47:31,641 | DatasetGeneration | INFO | generate_dataset:501 |   Train: 944, Val: 202, Test: 204
2026-03-07 13:47:31,663 | DatasetGeneration | INFO | generate_dataset:519 | ============================================================
2026-03-07 13:47:31,670 | DatasetGeneration | INFO | generate_dataset:520 | DATASET GENERATION COMPLETE
2026-03-07 13:47:31,671 | DatasetGeneration | INFO | generate_dataset:521 | Total: 1350 samples, 69 features, 10 classes
2026-03-07 13:47:31,671 | DatasetGeneration | INFO | generate_dataset:522 | ============================================================
