2026-03-29 12:53:51,849 | Ensemble | INFO | train:78 | Training Ensemble on 944 samples
2026-03-29 12:53:51,849 | Ensemble | INFO | train:83 | --- Training random_forest ---
2026-03-29 12:54:00,580 | Ensemble | INFO | train:83 | --- Training xgboost ---
2026-03-29 12:54:01,050 | Ensemble | INFO | train:83 | --- Training dnn ---
2026-03-29 12:54:01,261 | Ensemble | INFO | _optimize_weights:178 | Optimized weights: {'random_forest': 0.3333, 'xgboost': 0.3333, 'dnn': 0.3333}
2026-03-29 12:54:01,479 | Ensemble | INFO | train:127 | Ensemble training complete in 9.41s
2026-03-29 12:54:01,479 | Ensemble | INFO | train:128 | Optimized weights: {'random_forest': 0.3333, 'xgboost': 0.3333, 'dnn': 0.3333}
2026-03-29 12:54:01,479 | Ensemble | INFO | train:131 | Validation F1 scores:
2026-03-29 12:54:01,479 | Ensemble | INFO | train:133 |   random_forest: accuracy=0.8812, f1=0.7911
2026-03-29 12:54:01,480 | Ensemble | INFO | train:133 |   xgboost: accuracy=0.8960, f1=0.8016
2026-03-29 12:54:01,480 | Ensemble | INFO | train:133 |   dnn: accuracy=0.9010, f1=0.8377
2026-03-29 12:54:01,480 | Ensemble | INFO | train:133 |   ensemble: accuracy=0.9059, f1=0.8282
