2026-03-29 12:52:42,400 | Ensemble | INFO | train:78 | Training Ensemble on 944 samples
2026-03-29 12:52:42,400 | Ensemble | INFO | train:83 | --- Training random_forest ---
2026-03-29 12:52:51,870 | Ensemble | INFO | train:83 | --- Training xgboost ---
2026-03-29 12:52:52,474 | Ensemble | INFO | train:83 | --- Training dnn ---
2026-03-29 12:52:52,702 | Ensemble | INFO | _optimize_weights:178 | Optimized weights: {'random_forest': 0.3333, 'xgboost': 0.3333, 'dnn': 0.3333}
2026-03-29 12:52:52,921 | Ensemble | INFO | train:127 | Ensemble training complete in 10.30s
2026-03-29 12:52:52,922 | Ensemble | INFO | train:128 | Optimized weights: {'random_forest': 0.3333, 'xgboost': 0.3333, 'dnn': 0.3333}
2026-03-29 12:52:52,922 | Ensemble | INFO | train:131 | Validation F1 scores:
2026-03-29 12:52:52,922 | Ensemble | INFO | train:133 |   random_forest: accuracy=0.9010, f1=0.8339
2026-03-29 12:52:52,922 | Ensemble | INFO | train:133 |   xgboost: accuracy=0.9059, f1=0.8387
2026-03-29 12:52:52,922 | Ensemble | INFO | train:133 |   dnn: accuracy=0.9059, f1=0.8110
2026-03-29 12:52:52,923 | Ensemble | INFO | train:133 |   ensemble: accuracy=0.9010, f1=0.8094
