2026-05-04 00:57:46,398 | DatasetGeneration | INFO | generate_dataset:519 | ============================================================
2026-05-04 00:57:46,406 | DatasetGeneration | INFO | generate_dataset:520 | DATASET GENERATION PIPELINE
2026-05-04 00:57:46,409 | DatasetGeneration | INFO | generate_dataset:521 | ============================================================
2026-05-04 00:57:46,466 | DatasetGeneration | INFO | generate_dataset:530 | Step 1: Creating benchmark program characteristics...
2026-05-04 00:57:46,467 | DatasetGeneration | INFO | generate_dataset:535 |   Created 40 benchmark programs (C: 30, C++: 5, Python: 5)
2026-05-04 00:57:46,467 | DatasetGeneration | INFO | generate_dataset:538 | Step 2: Extracting features (Autophase + CFG)...
2026-05-04 00:57:47,388 | DatasetGeneration | INFO | generate_dataset:541 |   Feature matrix shape: (40, 91)
2026-05-04 00:57:47,388 | DatasetGeneration | INFO | generate_dataset:544 | Step 3: Initializing pass manager...
2026-05-04 00:57:47,392 | DatasetGeneration | INFO | generate_dataset:550 | Step 4: Generating priority vectors...
2026-05-04 00:57:47,393 | DatasetGeneration | INFO | generate_dataset:558 | Step 5: Creating labeled dataset (features + priority → optimal class)...
2026-05-04 00:57:50,015 | DatasetGeneration | INFO | generate_dataset:585 |   Total samples: 600
2026-05-04 00:57:50,016 | DatasetGeneration | INFO | generate_dataset:586 |   Feature dimension: 95
2026-05-04 00:57:50,017 | DatasetGeneration | INFO | generate_dataset:587 |   Class distribution: [ 15  62  25  28  11 197   7  42 202  11]
2026-05-04 00:57:50,022 | DatasetGeneration | INFO | generate_dataset:590 | Step 6: Data augmentation...
2026-05-04 00:57:51,179 | DatasetGeneration | INFO | generate_dataset:613 |   After augmentation: 30000 samples
2026-05-04 00:57:51,179 | DatasetGeneration | INFO | generate_dataset:616 | Step 7: Train/val/test split...
2026-05-04 00:57:51,240 | DatasetGeneration | INFO | generate_dataset:633 |   Train: 21000, Val: 4500, Test: 4500
2026-05-04 00:57:51,266 | DatasetGeneration | INFO | generate_dataset:651 | ============================================================
2026-05-04 00:57:51,267 | DatasetGeneration | INFO | generate_dataset:652 | DATASET GENERATION COMPLETE
2026-05-04 00:57:51,267 | DatasetGeneration | INFO | generate_dataset:653 | Total: 30000 samples, 95 features, 10 classes
2026-05-04 00:57:51,267 | DatasetGeneration | INFO | generate_dataset:654 | ============================================================
