2026-03-29 13:37:15,218 | DatasetGeneration | INFO | generate_dataset:390 | ============================================================
2026-03-29 13:37:15,218 | DatasetGeneration | INFO | generate_dataset:391 | DATASET GENERATION PIPELINE
2026-03-29 13:37:15,218 | DatasetGeneration | INFO | generate_dataset:392 | ============================================================
2026-03-29 13:37:15,235 | DatasetGeneration | INFO | generate_dataset:401 | Step 1: Creating benchmark program characteristics...
2026-03-29 13:37:15,236 | DatasetGeneration | INFO | generate_dataset:403 |   Created 30 benchmark programs
2026-03-29 13:37:15,236 | DatasetGeneration | INFO | generate_dataset:406 | Step 2: Extracting features (Autophase + CFG)...
2026-03-29 13:37:15,266 | DatasetGeneration | INFO | generate_dataset:409 |   Feature matrix shape: (30, 66)
2026-03-29 13:37:15,267 | DatasetGeneration | INFO | generate_dataset:412 | Step 3: Initializing pass manager...
2026-03-29 13:37:15,268 | DatasetGeneration | INFO | generate_dataset:418 | Step 4: Generating priority vectors...
2026-03-29 13:37:15,269 | DatasetGeneration | INFO | generate_dataset:426 | Step 5: Creating labeled dataset (features + priority → optimal class)...
2026-03-29 13:37:16,920 | DatasetGeneration | INFO | generate_dataset:453 |   Total samples: 450
2026-03-29 13:37:16,920 | DatasetGeneration | INFO | generate_dataset:454 |   Feature dimension: 69
2026-03-29 13:37:16,921 | DatasetGeneration | INFO | generate_dataset:455 |   Class distribution: [ 21  54   0  44   7 170   0  66  76  12]
2026-03-29 13:37:16,922 | DatasetGeneration | INFO | generate_dataset:458 | Step 6: Data augmentation...
2026-03-29 13:37:16,951 | DatasetGeneration | INFO | generate_dataset:481 |   After augmentation: 1350 samples
2026-03-29 13:37:16,951 | DatasetGeneration | INFO | generate_dataset:484 | Step 7: Train/val/test split...
2026-03-29 13:37:16,954 | DatasetGeneration | INFO | generate_dataset:501 |   Train: 944, Val: 202, Test: 204
2026-03-29 13:37:16,964 | DatasetGeneration | INFO | generate_dataset:519 | ============================================================
2026-03-29 13:37:16,964 | DatasetGeneration | INFO | generate_dataset:520 | DATASET GENERATION COMPLETE
2026-03-29 13:37:16,964 | DatasetGeneration | INFO | generate_dataset:521 | Total: 1350 samples, 69 features, 10 classes
2026-03-29 13:37:16,965 | DatasetGeneration | INFO | generate_dataset:522 | ============================================================
