2026-03-29 12:59:02,610 | Ensemble | INFO | train:78 | Training Ensemble on 944 samples
2026-03-29 12:59:02,610 | Ensemble | INFO | train:83 | --- Training random_forest ---
2026-03-29 12:59:18,083 | Ensemble | INFO | train:83 | --- Training xgboost ---
2026-03-29 12:59:19,495 | Ensemble | INFO | train:83 | --- Training dnn ---
2026-03-29 12:59:20,040 | Ensemble | INFO | _optimize_weights:178 | Optimized weights: {'random_forest': 0.3333, 'xgboost': 0.3333, 'dnn': 0.3333}
2026-03-29 12:59:20,656 | Ensemble | INFO | train:127 | Ensemble training complete in 17.43s
2026-03-29 12:59:20,656 | Ensemble | INFO | train:128 | Optimized weights: {'random_forest': 0.3333, 'xgboost': 0.3333, 'dnn': 0.3333}
2026-03-29 12:59:20,656 | Ensemble | INFO | train:131 | Validation F1 scores:
2026-03-29 12:59:20,656 | Ensemble | INFO | train:133 |   random_forest: accuracy=0.9406, f1=0.8713
2026-03-29 12:59:20,657 | Ensemble | INFO | train:133 |   xgboost: accuracy=0.9455, f1=0.9072
2026-03-29 12:59:20,657 | Ensemble | INFO | train:133 |   dnn: accuracy=0.9604, f1=0.9189
2026-03-29 12:59:20,657 | Ensemble | INFO | train:133 |   ensemble: accuracy=0.9406, f1=0.8948
