2026-03-29 12:49:22,528 | Ensemble | INFO | train:78 | Training Ensemble on 944 samples
2026-03-29 12:49:22,529 | Ensemble | INFO | train:83 | --- Training random_forest ---
2026-03-29 12:49:31,254 | Ensemble | INFO | train:83 | --- Training xgboost ---
2026-03-29 12:50:01,509 | Ensemble | INFO | train:83 | --- Training dnn ---
2026-03-29 12:50:04,810 | Ensemble | INFO | _optimize_weights:178 | Optimized weights: {'random_forest': 0.3333, 'xgboost': 0.3333, 'dnn': 0.3333}
2026-03-29 12:50:05,096 | Ensemble | INFO | train:127 | Ensemble training complete in 42.28s
2026-03-29 12:50:05,097 | Ensemble | INFO | train:128 | Optimized weights: {'random_forest': 0.3333, 'xgboost': 0.3333, 'dnn': 0.3333}
2026-03-29 12:50:05,097 | Ensemble | INFO | train:131 | Validation F1 scores:
2026-03-29 12:50:05,097 | Ensemble | INFO | train:133 |   random_forest: accuracy=0.9158, f1=0.8732
2026-03-29 12:50:05,097 | Ensemble | INFO | train:133 |   xgboost: accuracy=0.9505, f1=0.9396
2026-03-29 12:50:05,097 | Ensemble | INFO | train:133 |   dnn: accuracy=0.9356, f1=0.9076
2026-03-29 12:50:05,097 | Ensemble | INFO | train:133 |   ensemble: accuracy=0.9505, f1=0.9440
